type,s_frontend,s_backend,lf_react,lf_angular,lf_javascript,lf_kotlin,lb_node,lb_dotnet,lb_java,Complexity_value,t_design,t_frontend,t_backend,t_qa
1,2,2,0,0,1,0,0,1,0,0.9,0,0.0,2.0,0.0
1,2,2,0,0,1,0,0,1,0,0.9,0,0.0,2.0,0.0
1,2,2,0,0,1,0,0,1,0,0.9,0,2.0,0.0,0.0
1,2,2,0,0,1,0,0,1,0,1.4,0,4.0,0.0,0.0
1,2,2,0,0,1,0,0,1,0,0.9,0,2.0,0.0,0.0
1,2,2,0,0,1,0,0,1,0,1.4,0,4.0,0.0,0.0
1,2,2,0,0,1,0,0,1,0,3.1,0,0.0,10.0,2.0
1,2,2,0,0,1,0,0,1,0,3.1,0,0.0,10.0,2.0
1,2,2,0,0,1,0,0,1,0,3.6,0,0.0,12.0,2.0
1,2,2,0,0,1,0,0,1,0,3.1,0,0.0,10.0,2.0
1,2,2,0,0,1,0,0,1,0,2.6,0,0.0,8.0,2.0
1,2,2,0,0,1,0,0,1,0,2.1,0,0.0,6.0,2.0
1,2,2,0,0,1,0,0,1,0,2.6,0,0.0,8.0,2.0
1,2,2,0,0,1,0,0,1,0,3.1,0,0.0,10.0,2.0
1,2,2,0,0,1,0,0,1,0,2.6,0,0.0,8.0,2.0
1,2,2,0,0,1,0,0,1,0,2.1,0,0.0,6.0,2.0
1,2,2,0,0,1,0,0,1,0,4.8,0,16.0,0.0,4.0
1,2,2,0,0,1,0,0,1,0,4.8,0,16.0,0.0,4.0
1,2,2,0,0,1,0,0,1,0,1.6,0,4.0,0.0,2.0
1,2,2,0,0,1,0,0,1,0,4.6,0,16.0,0.0,2.0
1,2,2,0,0,1,0,0,1,0,2.2,0,6.0,0.0,3.0
1,2,2,0,0,1,0,0,1,0,2.2,0,6.0,0.0,3.0
1,2,2,0,0,1,0,0,1,0,1.6,0,2.0,2.0,2.0
1,3,3,0,1,0,0,1,0,0,9.0,0,16.0,16.0,4.0
1,3,3,0,1,0,0,1,0,0,4.8,0,8.0,8.0,2.0
1,3,3,0,1,0,0,1,0,0,5.0,0,8.0,8.0,4.0
1,3,3,0,1,0,0,1,0,0,6.8,0,12.0,12.0,2.0
1,3,3,0,1,0,0,1,0,0,2.8,0,4.0,4.0,2.0
1,3,3,0,1,0,0,1,0,0,5.0,0,8.0,8.0,4.0
1,3,3,0,1,0,0,1,0,0,7.0,0,12.0,12.0,4.0
1,3,3,0,1,0,0,1,0,0,5.0,0,8.0,8.0,4.0
1,3,3,0,1,0,0,1,0,0,5.0,0,8.0,8.0,4.0
1,3,3,0,1,0,0,1,0,0,5.0,0,8.0,8.0,4.0
1,3,3,0,1,0,0,1,0,0,7.0,0,12.0,12.0,4.0
1,3,3,0,1,0,0,1,0,0,5.0,0,8.0,8.0,4.0
1,3,3,0,1,0,0,1,0,0,5.0,0,8.0,8.0,4.0
1,3,3,0,1,0,0,1,0,0,7.0,0,12.0,12.0,4.0
